"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"11",337508.515901013,283814.367357842,328530.856217259,308406.141981303,184900.720135694,119958.429822062,347947.652981917,342262.823488925,187458.758397894,189764.556227226,0,175395.070845167,142706.893354645,7777.57775387893,358062.758650026,357767.245970035,360397.998055287,365287.597062402,143287.549754315,209727.93685635
"12",270884.496772301,218477.08814772,265886.722582431,255812.610360631,47004.9382932967,189701.716838907,277110.299453004,273303.655742074,50120.9518000946,46019.8840883657,175395.070845167,0,146411.498997298,182531.040904841,286259.982680735,285364.924804969,288356.956256475,291916.305847414,156685.537908276,197105.820464355
"13",194817.109391795,141584.185415168,185825.916583676,165936.506918482,187208.961764508,58550.1899365863,205329.390093244,199608.505538575,190700.079447818,188542.170387378,142706.893354645,146411.498997298,0,149513.104420083,215430.598327082,215158.60898804,217763.76739563,222679.632464968,10579.3550623096,70432.0337972857
"14",344328.491448427,290802.381569748,335294.642847092,315020.92501518,191038.688887645,124742.864810932,354824.995264041,349117.526044894,193535.361332058,195975.975877921,7777.57775387893,182531.040904841,149513.104420083,0,364932.469125598,364650.198637727,367266.516457725,372171.237145342,149804.185249344,216000.72179364
"15",21114.9600726916,74971.2129603774,31164.9357204001,54468.1658384422,332209.13049639,254734.898777845,10138.9739734531,15873.8753701409,334927.447532665,329863.097678277,358062.758650026,286259.982680735,215430.598327082,364932.469125598,0,1347.30114003936,2337.67570595233,7365.9389017236,215941.265658294,153937.824381415
"16",21159.4597625402,74524.2912483452,31312.1218125501,54709.731945196,331281.89449744,254710.466715077,9837.95592740451,15757.8810451495,333993.780863046,328920.543203288,357767.245970035,285364.924804969,215158.60898804,364650.198637727,1347.30114003936,0,2992.10409043216,7521.10620605164,215734.270849039,153920.203566237
"17",23376.2973561189,77302.0247577234,33365.3920940887,56594.9090654088,334271.659690667,257001.695146083,12476.1963973842,18191.5456907178,336982.701272149,331908.078041585,360397.998055287,288356.956256475,217763.76739563,367266.516457725,2337.67570595233,2992.10409043216,0,5128.57071888587,218264.593818422,156203.142333535
"18",28479.0404902514,81992.3950594436,38492.9051061871,61713.4580965898,337706.732624253,262100.7759711,17354.5633676111,23212.8011045955,340392.652810807,335283.568663402,365287.597062402,291916.305847414,222679.632464968,372171.237145342,7365.9389017236,7521.10620605164,5128.57071888587,0,223244.854377346,161303.566847612
"19",195119.392843012,143006.209028297,185863.633978398,165252.114895369,197033.245161512,50285.1027728953,205896.634308646,200074.474738446,200525.873213543,198475.458415201,143287.549754315,156685.537908276,10579.3550623096,149804.185249344,215941.265658294,215734.270849039,218264.593818422,223244.854377346,0,67034.0834383944
"20",132827.103366946,86456.6781464731,122989.764861839,100906.428303143,242343.689628354,100799.222630243,144200.732552168,138173.055445902,245739.507809392,242491.818310548,209727.93685635,197105.820464355,70432.0337972857,216000.72179364,153937.824381415,153920.203566237,156203.142333535,161303.566847612,67034.0834383944,0
