Station,Date,Wind Spd (mph),Temp (°F),Daily Max Temp (°F),Max RH (%),Soil Moist (%),Soil Temp (°F)
WSH201-Floriston,10/26/24,5.4,51.4,72.5,72,5.8,54
Washoe204-Fariad,10/26/24,6.5,53.8,73.1,70,6.3,51.2
MEY3400-Camp Richardson,10/26/24,2.6,50.5,66.3,69,5.5,51.5
MEY3500-STPD Office,10/26/24,1.1,46.1,67.5,76,6.8,56.8
621Line-I-80 Gravel Pit,10/26/24,2.1,43.8,70.7,91,2.9,53.1
7201-Alpine Meadows,10/26/24,1.9,49,66.2,78,9.5,50.9
MUL1296-Markleeville,10/26/24,0.8,51.6,74.2,75,2.5,53.4
TPZ1261-Eastside Lane,10/26/24,7.9,60.1,69.2,22,3.8,62.1
MEY3300-Tolteca,10/26/24,2.7,52.4,66.2,50,,
TAH-5201 Lake Forest,10/26/24,1.5,50.1,64.6,64,13.9,45.6
Tahoe-7300 Sugar Pine Point,10/26/24,0.9,49,62.3,65,4.6,49.1
SOK-257 Reno Park,10/26/24,6.5,57.8,73.9,40,7.3,53.8
SMP8700-Firecamp,10/26/24,1,44.4,70.7,87,,
TAH5201-Fairway,10/26/24,1.2,47,64.6,80,,
TPZ1261 Cunningham,10/26/24,2.7,50.6,70.4,62,,
MUL1296-Sorensens,10/26/24,1.8,42.6,66.9,70,,
GLS7600-Walden,10/25/24,1.2,54.7,66.8,64,11.4,45.8
TAH7300-DL Bliss,10/25/24,1.1,51.8,65,86,3.1,48.6
MUL1296-Woodfords,10/25/24,1.4,49.6,71.4,66,0.8,57.1
BKY4201-Summit,10/25/24,1.6,,,100,6.3,47.4
TPZ1261–Park Ranch,10/25/24,0.6,48.2,67,87,4,54.9
TPZ1261-Walker,10/25/24,3.7,50.5,65.6,80,4.2,58
Meyers3400-Uplands,10/25/24,5,53.2,65.7,74,2.1,50.7
111Line-Columbine Trail,10/25/24,1.1,48.4,69,90,1.4,46.4
POR31-Iron Horse,10/25/24,1.5,42.9,70.3,87,4.2,48.3
619Line-Sierra Valley West,10/25/24,3,42.6,70.8,89,,58.9
SQV8200-Squaw Valley,10/25/24,2.6,44.6,66,92,6,53.6
CEM41-Garbage Pit Rd,10/25/24,4.3,46.4,70.5,83,4.5,56.7
CAL204-Dog Valley,10/25/24,1.8,46.4,65.2,80,6.6,53.9
TRK7203-Northstar Golf Course,10/25/24,2.6,40.9,70.6,95,10.5,48.7
Hobart Sub,10/25/24,1.2,40.8,69.4,99,4.3,50.9
SRB51-Smithneck Rd,10/25/24,3.4,46.3,70.7,80,12.3,58.2
TRK7202-Cabin Tree,10/25/24,1.4,46.1,66.6,87,6,50.3
Muller1296-Emigrant Trail,10/25/24,4.5,47.8,66.8,77,1.8,48.1
STL3101 Ledge Ct.,10/25/24,1.5,51.9,69.3,82,2.6,54.9
TAH7300-Homewood,10/25/24,0.8,48.2,66.9,96,4.7,50.2
7400-Glenshire,10/25/24,1.4,41.1,69,91,1.9,50.1
MEY3300-Grass Lake Road,10/25/24,0.8,44.1,69.3,87,5.4,45.3
WSH201-Floriston,10/25/24,2.9,45.2,71.7,85,5.7,51.4
Washoe204-Fariad,10/25/24,4,47,70.8,85,6.2,50.4
MEY3400-Camp Richardson,10/25/24,2.4,49.5,68.6,97,5.7,51.4
MEY3500-STPD Office,10/25/24,0.9,44.4,70.6,88,6.8,57.3
621Line-I-80 Gravel Pit,10/25/24,2,41,70.6,93,2.8,53
7201-Alpine Meadows,10/25/24,1.8,47.3,66.2,93,9.6,50.7
MUL1296-Markleeville,10/25/24,0.5,45.5,74.1,90,2.5,52.4
TPZ1261-Eastside Lane,10/25/24,3.7,53.3,69.3,56,3.7,59.4
MEY3300-Tolteca,10/25/24,1.8,50.5,66.9,73,,
TAH-5201 Lake Forest,10/25/24,1.2,47.4,66.2,89,14.2,45.2
Tahoe-7300 Sugar Pine Point,10/25/24,0.9,48,67.3,85,4.7,48.2
SOK-257 Reno Park,10/25/24,6.3,49,68,69,7.3,52.5
SMP8700-Firecamp,10/25/24,0.9,41.2,70.1,96,,
TAH5201-Fairway,10/25/24,1.3,47.5,67.3,93,,
TPZ1261 Cunningham,10/25/24,2.4,44.6,66.3,88,,
MUL1296-Sorensens,10/25/24,2,42.9,67.3,80,,
GLS7600-Walden,10/24/24,0.7,39.8,53.9,80,11.8,45.6
TAH7300-DL Bliss,10/24/24,0.7,46.1,52.2,79,3.1,49.6
MUL1296-Woodfords,10/24/24,1.5,42.8,54.6,77,0.8,59.4
BKY4201-Summit,10/24/24,2.5,,,100,6.3,48
TPZ1261–Park Ranch,10/24/24,5.8,47.4,58.4,78,4.1,57.7
TPZ1261-Walker,10/24/24,4.3,42.9,55.6,83,4.2,59.7
Meyers3400-Uplands,10/24/24,4.1,47.1,53.7,80,2.2,50.6
111Line-Columbine Trail,10/24/24,0.3,44.6,59.1,86,1.4,46.8
POR31-Iron Horse,10/24/24,2.3,40.7,59.7,80,4.3,50.3
619Line-Sierra Valley West,10/24/24,4.6,43.3,59.4,85,,58.9
SQV8200-Squaw Valley,10/24/24,1.2,40.5,60.2,90,6,54.6
CEM41-Garbage Pit Rd,10/24/24,5.5,42.7,59.5,82,4.5,58
CAL204-Dog Valley,10/24/24,3.2,41.8,57.8,73,6.8,56.3
TRK7203-Northstar Golf Course,10/24/24,1.3,37.3,59,95,10.6,50.1
Hobart Sub,10/24/24,0.7,37.9,58.3,93,4.3,52.4
SRB51-Smithneck Rd,10/24/24,2.9,42.7,60.7,79,12.3,59.1
TRK7202-Cabin Tree,10/24/24,1,39.7,56.8,82,6,50.8
Muller1296-Emigrant Trail,10/24/24,4.5,42.4,55.6,79,2,51.6
STL3101 Ledge Ct.,10/24/24,1,47.1,57.1,77,2.7,56.8
TAH7300-Homewood,10/24/24,0.5,44.6,54.9,86,4.7,50.8
7400-Glenshire,10/24/24,1.9,38.5,57,90,1.9,51.2
MEY3300-Grass Lake Road,10/24/24,0.7,42.7,59.9,82,5.4,46.6
WSH201-Floriston,10/24/24,4.7,42.8,55,71,5.8,54.6
Washoe204-Fariad,10/24/24,7.1,43.2,55.1,71,6.2,52.2
MEY3400-Camp Richardson,10/24/24,1.8,44,55.5,95,5.8,52.2
MEY3500-STPD Office,10/24/24,0.7,42.2,58.5,87,6.8,58.7
621Line-I-80 Gravel Pit,10/24/24,1.4,39.3,58.8,92,2.9,54.7
7201-Alpine Meadows,10/24/24,0.8,40.5,61.1,89,9.9,52.1
MUL1296-Markleeville,10/24/24,0,40.2,56.8,85,2.6,54.2
TPZ1261-Eastside Lane,10/24/24,5.2,44.7,55.4,66,3.7,60.9
MEY3300-Tolteca,10/24/24,1,47.2,58.1,71,,
TAH-5201 Lake Forest,10/24/24,0.7,43.3,55.9,82,14.5,45.2
Tahoe-7300 Sugar Pine Point,10/24/24,0.7,44.3,54.7,84,4.7,49.8
SOK-257 Reno Park,10/24/24,6.3,43,56.4,75,7.3,54.7
SMP8700-Firecamp,10/24/24,0.4,38.5,58.9,88,,
TAH5201-Fairway,10/24/24,2.4,42.4,54.9,89,,
TPZ1261 Cunningham,10/24/24,3.9,42.6,56.9,85,,
MUL1296-Sorensens,10/24/24,1,36.2,50.3,83,,
GLS7600-Walden,10/23/24,1.7,52.5,63.6,66,12.3,48
TAH7300-DL Bliss,10/23/24,3.2,53.7,62.6,59,3.1,49.8
MUL1296-Woodfords,10/23/24,8,60.6,73,53,0.9,60.2
BKY4201-Summit,10/23/24,2.1,,,100,6.3,48.6
TPZ1261–Park Ranch,10/23/24,4,58.2,79.3,69,4.1,57.9
TPZ1261-Walker,10/23/24,7.9,59.4,76.3,44,4.2,59.7
Meyers3400-Uplands,10/23/24,7,53.8,63.8,43,2.2,51.2
111Line-Columbine Trail,10/23/24,2.3,51.9,65.6,50,1.4,46.5
POR31-Iron Horse,10/23/24,2.6,49.1,67.9,77,4.3,51.3
619Line-Sierra Valley West,10/23/24,6,48.5,68.9,88,,58.9
SQV8200-Squaw Valley,10/23/24,4.7,48.7,62.8,77,6,54.4
CEM41-Garbage Pit Rd,10/23/24,6.2,51,69.9,77,4.5,58.6
CAL204-Dog Valley,10/23/24,5.5,56.6,71.3,56,6.8,57.3
TRK7203-Northstar Golf Course,10/23/24,4.4,45,66.8,89,10.6,50.8
Hobart Sub,10/23/24,2.3,45.7,66.5,94,4.3,52.9
SRB51-Smithneck Rd,10/23/24,5.5,54.4,69.2,69,12.3,59.4
TRK7202-Cabin Tree,10/23/24,2.6,50.2,63,62,6.1,51.5
Muller1296-Emigrant Trail,10/23/24,9.8,58.5,75.9,58,2.3,56
STL3101 Ledge Ct.,10/23/24,6.5,56.4,66,42,2.8,56.8
TAH7300-Homewood,10/23/24,2,51.6,63.9,60,4.7,50.7
7400-Glenshire,10/23/24,3.2,45.7,66.1,86,1.9,51.7
MEY3300-Grass Lake Road,10/23/24,1.4,47,67,75,5.4,46.4
WSH201-Floriston,10/23/24,5.8,51,69.5,70,5.9,56.4
Washoe204-Fariad,10/23/24,10.7,53.6,69.8,65,6.2,53.3
MEY3400-Camp Richardson,10/23/24,3.3,53.7,66.3,62,5.9,52.3
MEY3500-STPD Office,10/23/24,1.7,49.9,67.8,68,6.9,58
621Line-I-80 Gravel Pit,10/23/24,3.9,45.6,67.2,91,2.8,54.9
7201-Alpine Meadows,10/23/24,3.2,51.2,63.7,73,10.2,52.4
MUL1296-Markleeville,10/23/24,1.6,53.8,73.3,77,2.6,55
TPZ1261-Eastside Lane,10/23/24,8.3,60.9,76.5,50,3.7,64.3
MEY3300-Tolteca,10/23/24,4.2,54.8,64.7,44,,
TAH-5201 Lake Forest,10/23/24,1.4,49.9,64.3,64,14.8,45.6
Tahoe-7300 Sugar Pine Point,10/23/24,1.1,52.2,65.1,54,4.7,49.9
SOK-257 Reno Park,10/23/24,12.6,58,71.1,68,7.4,56.8
SMP8700-Firecamp,10/23/24,1.8,45.4,67.2,90,,
TAH5201-Fairway,10/23/24,2.4,49.3,63.6,67,,
TPZ1261 Cunningham,10/23/24,7.7,55.9,76.8,68,,
MUL1296-Sorensens,10/23/24,3.6,46.5,66,72,,
GLS7600-Walden,10/22/24,1.8,52.5,61.2,39,12.8,47.5
TAH7300-DL Bliss,10/22/24,1.7,52.4,60.8,58,3,48.6
MUL1296-Woodfords,10/22/24,7.7,59,70.2,39,0.9,59.1
BKY4201-Summit,10/22/24,2.2,,,100,6.3,47.5
TPZ1261–Park Ranch,10/22/24,2.9,55.8,76.8,74,4.1,57.7
TPZ1261-Walker,10/22/24,4.2,56.8,73.7,55,4.2,59
Meyers3400-Uplands,10/22/24,7.6,53.2,60.7,36,2.3,50.1
111Line-Columbine Trail,10/22/24,1.7,48.6,64.4,58,1.4,45.8
POR31-Iron Horse,10/22/24,1.9,45.3,65.7,82,4.2,50.7
619Line-Sierra Valley West,10/22/24,3.9,46.8,67.5,86,,58.9
SQV8200-Squaw Valley,10/22/24,3.4,46,61.6,82,6,53.3
CEM41-Garbage Pit Rd,10/22/24,4.8,49.4,68.3,74,4.5,58.4
CAL204-Dog Valley,10/22/24,3.2,53.8,70.5,63,6.7,56.3
TRK7203-Northstar Golf Course,10/22/24,3.4,44,65.3,86,10.6,50.3
Hobart Sub,10/22/24,1.5,44,64.9,94,4.3,52.5
SRB51-Smithneck Rd,10/22/24,4,50.9,67.9,67,12.3,59.1
TRK7202-Cabin Tree,10/22/24,2.5,49.4,62.5,59,6.1,50.8
Muller1296-Emigrant Trail,10/22/24,7.3,57.1,72.9,57,2.8,54.7
STL3101 Ledge Ct.,10/22/24,2.4,52.8,63.8,37,2.9,54.6
TAH7300-Homewood,10/22/24,1,49.4,63,60,4.7,50.5
7400-Glenshire,10/22/24,2.2,43.7,64.8,85,1.9,51.4
MEY3300-Grass Lake Road,10/22/24,1.1,44.9,63.4,84,5.3,45.6
WSH201-Floriston,10/22/24,3.7,48.7,67.4,72,5.8,54.9
Washoe204-Fariad,10/22/24,6,51.7,68.6,68,6.1,52.6
MEY3400-Camp Richardson,10/22/24,3.4,53.7,64.3,69,6.1,51.7
MEY3500-STPD Office,10/22/24,1.3,45.5,65.3,82,6.9,57.3
621Line-I-80 Gravel Pit,10/22/24,3,43.8,66.2,89,2.8,54.5
7201-Alpine Meadows,10/22/24,1.7,47,61.9,81,10.4,51
MUL1296-Markleeville,10/22/24,1.1,50,70.4,79,2.5,54
TPZ1261-Eastside Lane,10/22/24,7.9,59.1,74.5,39,3.7,63.9
MEY3300-Tolteca,10/22/24,2.9,53.1,62.7,51,,
TAH-5201 Lake Forest,10/22/24,1.3,49.3,62.8,57,15.1,44.9
Tahoe-7300 Sugar Pine Point,10/22/24,1,50.2,64.6,62,4.6,48.2
SOK-257 Reno Park,10/22/24,7.3,55.3,69.2,50,7.4,55.2
SMP8700-Firecamp,10/22/24,1.5,43.5,65.4,86,,
TAH5201-Fairway,10/22/24,2.2,48.4,62.3,71,,
TPZ1261 Cunningham,10/22/24,3.5,52.3,75,78,,
MUL1296-Sorensens,10/22/24,2.8,42.9,63.4,75,,
GLS7600-Walden,10/21/24,2.4,50.3,58.2,38,13.2,46.6
TAH7300-DL Bliss,10/21/24,2.9,51.1,57.1,48,3,48.2
MUL1296-Woodfords,10/21/24,7.4,58.6,67.4,40,0.9,58.1
BKY4201-Summit,10/21/24,2.8,,,100,6.2,47.3
TPZ1261–Park Ranch,10/21/24,5.1,59.8,72.9,62,4.1,57
TPZ1261-Walker,10/21/24,5.9,57.8,69.9,49,4.2,58.2
Meyers3400-Uplands,10/21/24,9.2,50.4,57.8,40,2.4,49.2
111Line-Columbine Trail,10/21/24,2.4,48.5,60,62,1.4,45.2
POR31-Iron Horse,10/21/24,2.8,47.8,64.1,68,4.2,51.4
619Line-Sierra Valley West,10/21/24,6.8,51,64.8,71,,58.9
SQV8200-Squaw Valley,10/21/24,4.7,47.3,57.4,73,6,53.4
CEM41-Garbage Pit Rd,10/21/24,8.4,54.6,65.3,50,4.5,58.9
CAL204-Dog Valley,10/21/24,5.6,57.4,66.4,43,6.7,56.5
TRK7203-Northstar Golf Course,10/21/24,6.2,46.7,61.1,72,10.5,50.4
Hobart Sub,10/21/24,2.2,46.4,62,70,4.3,52.9
SRB51-Smithneck Rd,10/21/24,6.3,53.4,64.7,45,12.3,59
TRK7202-Cabin Tree,10/21/24,2.6,48.9,57.7,53,6.1,50.6
Muller1296-Emigrant Trail,10/21/24,10.2,59.5,70,45,3.7,55.1
STL3101 Ledge Ct.,10/21/24,3.4,50.8,60.4,43,3,54.5
TAH7300-Homewood,10/21/24,2,48.7,58.8,54,4.7,50.7
7400-Glenshire,10/21/24,3,46.9,61.3,76,1.9,51.4
MEY3300-Grass Lake Road,10/21/24,1.8,44.3,60,80,5.3,45.3
WSH201-Floriston,10/21/24,4.6,50.8,64.5,62,5.8,55.5
Washoe204-Fariad,10/21/24,10.2,56.6,64.2,51,6,52.3
MEY3400-Camp Richardson,10/21/24,3.8,53.2,60.6,42,6.2,51.6
MEY3500-STPD Office,10/21/24,1.8,48.7,62,72,6.9,57.4
621Line-I-80 Gravel Pit,10/21/24,4.5,45.9,62.6,81,2.8,54.7
7201-Alpine Meadows,10/21/24,2.4,47.6,57.9,74,10.8,51.2
MUL1296-Markleeville,10/21/24,1.4,54.8,67.4,72,2.5,54.4
TPZ1261-Eastside Lane,10/21/24,9.4,60.8,70,36,3.6,62.6
MEY3300-Tolteca,10/21/24,4.1,51.6,59.5,40,,
TAH-5201 Lake Forest,10/21/24,1.6,48.7,60.4,50,15.5,44.6
Tahoe-7300 Sugar Pine Point,10/21/24,1,49.8,60.2,49,4.6,47.8
SOK-257 Reno Park,10/21/24,10.3,56.3,65.9,44,7.5,54.9
SMP8700-Firecamp,10/21/24,1.9,44,62.6,79,,
TAH5201-Fairway,10/21/24,2.7,48.2,58.6,60,,
TPZ1261 Cunningham,10/21/24,4.8,55,71.3,64,,
MUL1296-Sorensens,10/21/24,2.6,45.3,60.4,78,,
GLS7600-Walden,10/20/24,0.9,47.9,61.7,43,13.4,45
TAH7300-DL Bliss,10/20/24,1.1,49,58.3,65,2.9,46.6
MUL1296-Woodfords,10/20/24,3.6,51.5,66.6,47,0.8,56.1
BKY4201-Summit,10/20/24,2,,,,6.2,46.1
TPZ1261–Park Ranch,10/20/24,3,50.3,67.5,79,4,53.5
TPZ1261-Walker,10/20/24,3.8,49.2,64.9,67,4.2,56.7
Meyers3400-Uplands,10/20/24,4.6,49.5,60.4,44,2.5,47.4
111Line-Columbine Trail,10/20/24,1,44.7,62.8,59,1.4,44
POR31-Iron Horse,10/20/24,1.4,45.5,67.7,78,4.1,50.5
619Line-Sierra Valley West,10/20/24,3,47.4,68.3,86,,58.9
SQV8200-Squaw Valley,10/20/24,2.5,42.2,62,86,6,51.9
CEM41-Garbage Pit Rd,10/20/24,4.3,49,69.1,72,4.4,57.1
CAL204-Dog Valley,10/20/24,3.4,50.4,68.2,65,6.5,52.9
TRK7203-Northstar Golf Course,10/20/24,2.1,40.9,65.9,88,10.3,48.7
Hobart Sub,10/20/24,1.2,42,66.6,84,4.2,51.7
SRB51-Smithneck Rd,10/20/24,4.3,49.1,68.1,63,12.2,58.3
TRK7202-Cabin Tree,10/20/24,1.4,44,62.2,72,6.1,49.4
Muller1296-Emigrant Trail,10/20/24,5.8,51.1,66.2,57,4.8,48
STL3101 Ledge Ct.,10/20/24,1.8,48.5,61.2,42,3.1,51.8
TAH7300-Homewood,10/20/24,0.9,46,61.6,71,4.7,50.8
7400-Glenshire,10/20/24,1.7,41.3,65,83,1.9,50.1
MEY3300-Grass Lake Road,10/20/24,0.9,43.1,63.4,79,5.3,44.1
WSH201-Floriston,10/20/24,2.5,45.6,68.6,72,5.6,52.1
Washoe204-Fariad,10/20/24,6.4,49,67.9,69,5.8,49.4
MEY3400-Camp Richardson,10/20/24,2.3,47,62.2,67,6.2,50.5
MEY3500-STPD Office,10/20/24,0.8,42.2,64.2,78,6.9,55.3
621Line-I-80 Gravel Pit,10/20/24,1.8,41.8,66.3,88,2.8,53.5
7201-Alpine Meadows,10/20/24,1.2,43.3,62.4,86,11.2,49.4
MUL1296-Markleeville,10/20/24,0.4,44.8,68.9,85,2.4,50.9
TPZ1261-Eastside Lane,10/20/24,5.5,51.5,64.8,43,3.5,58.3
MEY3300-Tolteca,10/20/24,2,48.3,62.5,54,,
TAH-5201 Lake Forest,10/20/24,0.9,45.3,63,71,16,43.5
Tahoe-7300 Sugar Pine Point,10/20/24,1,46.1,61.9,60,4.5,46
SOK-257 Reno Park,10/20/24,5.4,52.1,68.4,58,7.4,52
SMP8700-Firecamp,10/20/24,0.7,41.7,67.4,80,,
TAH5201-Fairway,10/20/24,1.4,44.2,61.1,78,,
TPZ1261 Cunningham,10/20/24,2.5,45.5,65.6,82,,
MUL1296-Sorensens,10/20/24,2.4,39.7,63.7,72,,
GLS7600-Walden,10/19/24,0.8,41.5,57.6,55,13.6,44
TAH7300-DL Bliss,10/19/24,2.3,45.6,51.9,37,2.8,44.9
MUL1296-Woodfords,10/19/24,1.3,41,56.9,64,0.8,56.1
BKY4201-Summit,10/19/24,1.9,,,100,6.1,45.3
TPZ1261–Park Ranch,10/19/24,4.2,43.2,60,82,4,52.4
TPZ1261-Walker,10/19/24,4,41.4,56.2,75,4.1,56.5
Meyers3400-Uplands,10/19/24,9.4,43.8,55.4,41,2.6,46.2
111Line-Columbine Trail,10/19/24,2.4,40.7,57,63,1.4,44.2
POR31-Iron Horse,10/19/24,2.3,43.8,61,75,4,49.5
619Line-Sierra Valley West,10/19/24,6.6,45.4,60.9,84,,58.9
SQV8200-Squaw Valley,10/19/24,2.2,38.7,57.4,82,6,50.7
CEM41-Garbage Pit Rd,10/19/24,6.8,44.3,60.4,70,4.4,55.7
CAL204-Dog Valley,10/19/24,3.5,43.1,60.1,69,6.5,51.7
TRK7203-Northstar Golf Course,10/19/24,1.9,37.8,61.5,88,10.2,47.5
Hobart Sub,10/19/24,1.1,38.6,60.8,88,4.2,51
SRB51-Smithneck Rd,10/19/24,4.1,43.7,61.6,64,12.1,58.3
TRK7202-Cabin Tree,10/19/24,2,40.6,57.9,71,6,48.7
Muller1296-Emigrant Trail,10/19/24,4.9,40.7,57.8,72,5.7,42.8
STL3101 Ledge Ct.,10/19/24,1.8,42.6,55.8,42,3.2,49.5
TAH7300-Homewood,10/19/24,1,46.5,57.2,60,4.8,51.1
7400-Glenshire,10/19/24,1.7,38.1,59.5,84,2,49.8
MEY3300-Grass Lake Road,10/19/24,2.5,40.3,57.5,76,5.2,43.2
WSH201-Floriston,10/19/24,4,40.8,57.8,83,5.5,48.5
Washoe204-Fariad,10/19/24,7.6,43.5,57,84,5.5,48.2
MEY3400-Camp Richardson,10/19/24,2.5,43.2,56.5,60,6.3,50.9
MEY3500-STPD Office,10/19/24,1.7,39.8,59.2,75,6.9,53.6
621Line-I-80 Gravel Pit,10/19/24,2.6,39.1,59.8,88,2.7,52.5
7201-Alpine Meadows,10/19/24,1.6,39.7,57.3,82,11.9,48.6
MUL1296-Markleeville,10/19/24,0,36.8,57.8,89,2.4,49.8
TPZ1261-Eastside Lane,10/19/24,7.4,42.5,56.3,54,3.4,54.7
MEY3300-Tolteca,10/19/24,1.8,44.8,58.9,47,,
TAH-5201 Lake Forest,10/19/24,1,44.7,55.9,52,16.5,42.8
Tahoe-7300 Sugar Pine Point,10/19/24,1,47.1,55.5,48,4.5,45.5
SOK-257 Reno Park,10/19/24,5.7,44,58.1,69,7.3,50.6
SMP8700-Firecamp,10/19/24,1.2,39.8,58.3,84,,
TAH5201-Fairway,10/19/24,3,42.7,54.6,68,,
TPZ1261 Cunningham,10/19/24,2.7,39.3,57.6,88,,
MUL1296-Sorensens,10/19/24,1.1,33.6,50,82,,
GLS7600-Walden,10/18/24,0.4,32.6,44.5,85,13.6,43.9
TAH7300-DL Bliss,10/18/24,2.8,35.4,42.6,71,2.7,44.4
MUL1296-Woodfords,10/18/24,1.6,36.6,47.9,79,0.8,58.1
BKY4201-Summit,10/18/24,2,,,100,6.1,46.4
TPZ1261–Park Ranch,10/18/24,3.7,39.8,50.8,85,4,53.8
TPZ1261-Walker,10/18/24,3.5,36.3,47.2,83,4.2,58.2
Meyers3400-Uplands,10/18/24,8.6,34,40.3,74,2.6,47.5
111Line-Columbine Trail,10/18/24,2.9,36.4,46.6,68,1.4,46
POR31-Iron Horse,10/18/24,2.6,37.4,50.4,86,4,49.3
619Line-Sierra Valley West,10/18/24,6.1,38.2,50.1,74,,58.9
SQV8200-Squaw Valley,10/18/24,4.5,34.8,46.4,88,6,50.5
CEM41-Garbage Pit Rd,10/18/24,7.7,38.6,49.2,79,4.3,56.1
CAL204-Dog Valley,10/18/24,4.1,37.7,49.7,80,6.5,52.7
TRK7203-Northstar Golf Course,10/18/24,2.6,33.3,49.7,89,10.1,47.3
Hobart Sub,10/18/24,2.1,35.8,48,85,4.2,51.3
SRB51-Smithneck Rd,10/18/24,4.1,37,50.3,82,12.2,59.8
TRK7202-Cabin Tree,10/18/24,1.9,34,45.6,86,6.1,49.4
Muller1296-Emigrant Trail,10/18/24,4.3,36.6,49.2,83,9.1,43.2
STL3101 Ledge Ct.,10/18/24,3.2,34.8,45.6,72,3.4,49.1
TAH7300-Homewood,10/18/24,2,39.4,46.5,76,4.7,52.1
7400-Glenshire,10/18/24,2.7,34.1,47.5,90,2.1,51.2
MEY3300-Grass Lake Road,10/18/24,2.3,34.6,47.1,84,5.1,43.9
WSH201-Floriston,10/18/24,6.8,38.3,47.5,71,5.4,46.7
Washoe204-Fariad,10/18/24,15.4,39.8,47,68,5.3,49.2
MEY3400-Camp Richardson,10/18/24,3.6,37.8,44.3,68,6.2,52.5
MEY3500-STPD Office,10/18/24,3.3,37.4,49.4,72,6.9,53.1
621Line-I-80 Gravel Pit,10/18/24,3.3,36,49.2,82,2.7,52.9
7201-Alpine Meadows,10/18/24,2.8,36.3,46,85,13.2,49
MUL1296-Markleeville,10/18/24,0.1,34.9,49,92,2.5,51.5
TPZ1261-Eastside Lane,10/18/24,6.2,36.7,47.2,75,3.3,53.7
MEY3300-Tolteca,10/18/24,3.7,36.1,45.2,69,,
TAH-5201 Lake Forest,10/18/24,1.3,37.8,45.8,75,17.5,43.4
Tahoe-7300 Sugar Pine Point,10/18/24,1.7,38,44.3,76,4.4,44.2
SOK-257 Reno Park,10/18/24,5.6,37.1,47.4,80,7.3,51.6
SMP8700-Firecamp,10/18/24,1.4,36,46.9,77,,
TAH5201-Fairway,10/18/24,4.2,38.2,45.4,70,,
TPZ1261 Cunningham,10/18/24,3.5,36.5,48.8,84,,
MUL1296-Sorensens,10/18/24,1.4,31.2,41.2,80,,
GLS7600-Walden,10/17/24,1.1,35.9,46.4,97,13.6,48.6
TAH7300-DL Bliss,10/17/24,3,39.2,47.4,93,2.5,48.8
MUL1296-Woodfords,10/17/24,6.2,44.9,56,91,0.8,61.4
BKY4201-Summit,10/17/24,2.6,,,100,6.2,50.2
TPZ1261–Park Ranch,10/17/24,6.3,46.1,62.4,92,4.1,57.1
TPZ1261-Walker,10/17/24,7.3,43.9,58.6,91,4.3,60.5
Meyers3400-Uplands,10/17/24,6.7,37.9,47.6,97,2.4,52.2
111Line-Columbine Trail,10/17/24,1.9,38.9,48.5,99,1.5,49.1
POR31-Iron Horse,10/17/24,1.7,39.8,55,99,4.1,53.8
619Line-Sierra Valley West,10/17/24,5.2,39.8,55.2,99,,58.9
SQV8200-Squaw Valley,10/17/24,4.4,36.6,47.4,98,5.9,54.4
CEM41-Garbage Pit Rd,10/17/24,6.9,40.1,54.2,96,4.4,59.9
CAL204-Dog Valley,10/17/24,4.4,42.3,55.5,95,6.7,57.7
TRK7203-Northstar Golf Course,10/17/24,4.7,36.8,50.4,98,10.4,51.2
Hobart Sub,10/17/24,1.6,38.1,51.6,100,4.2,54.7
SRB51-Smithneck Rd,10/17/24,5.4,40.8,52.9,97,12.4,63.3
TRK7202-Cabin Tree,10/17/24,1.7,36,47.8,100,6.2,54.1
Muller1296-Emigrant Trail,10/17/24,7.8,44,59.1,93,10.6,48.3
STL3101 Ledge Ct.,10/17/24,4.8,38.7,46.2,94,3.7,53.6
TAH7300-Homewood,10/17/24,2.1,39.1,47.6,96,4.9,54.4
7400-Glenshire,10/17/24,3.5,37.6,48.4,98,2.3,55
MEY3300-Grass Lake Road,10/17/24,1.9,37.5,50.1,100,5,46.5
WSH201-Floriston,10/17/24,6,41,52.2,93,5.7,51.2
Washoe204-Fariad,10/17/24,8.7,42.4,53.4,96,5.2,54.5
MEY3400-Camp Richardson,10/17/24,3.3,40.2,51,99,5.7,55.6
MEY3500-STPD Office,10/17/24,1.9,38.8,50.2,98,6.9,55.4
621Line-I-80 Gravel Pit,10/17/24,4.6,38.6,51.2,97,2.5,56.8
7201-Alpine Meadows,10/17/24,2.9,37.3,47.2,100,12,52.1
MUL1296-Markleeville,10/17/24,0.9,42.9,55.9,97,2.6,55
TPZ1261-Eastside Lane,10/17/24,7.1,45.1,59.4,89,3.3,58.8
MEY3300-Tolteca,10/17/24,3.4,39,47.4,92,,
TAH-5201 Lake Forest,10/17/24,0.7,37.4,47.8,97,17.8,48.2
Tahoe-7300 Sugar Pine Point,10/17/24,1.3,39.4,50.2,96,4.2,48.4
SOK-257 Reno Park,10/17/24,7.6,41.2,52.6,94,7.2,56.1
SMP8700-Firecamp,10/17/24,1,37.8,50.4,99,,
TAH5201-Fairway,10/17/24,2.4,37.8,49,97,,
TPZ1261 Cunningham,10/17/24,6.5,43.4,59.9,93,,
MUL1296-Sorensens,10/17/24,2.8,35.8,48.8,97,,
GLS7600-Walden,10/16/24,1.1,46.4,55.2,96,9.9,53.3
TAH7300-DL Bliss,10/16/24,1.3,48.2,55.6,91,2.2,55.6
